epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,235.638,1.13457,2.6989,1.50019,0.5324,0.36768,0.37604,0.25947,1.0448,2.11075,1.43282,0.00998592,0.00332864,0.00998592,0.00332864,0.00998592,0.00332864,0.00998592,0.00332864
2,477.418,1.10133,1.84277,1.45419,0.58187,0.37772,0.38218,0.26161,1.17371,2.02697,1.55558,0.0197881,0.00659602,0.0197881,0.00659602,0.0197881,0.00659602,0.0197881,0.00659602
3,703.887,1.17564,1.73784,1.50956,0.45476,0.32907,0.27271,0.16237,1.39792,2.34631,1.7563,0.0293922,0.0097974,0.0293922,0.0097974,0.0293922,0.0097974,0.0293922,0.0097974
4,938.098,1.17301,1.62355,1.50757,0.58269,0.40294,0.4144,0.28451,1.1652,1.94954,1.53863,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1175.5,1.08921,1.41229,1.44221,0.69648,0.48119,0.54397,0.40501,0.96719,1.6006,1.36677,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1403.26,1.04501,1.30686,1.40905,0.69302,0.53913,0.59604,0.44759,0.965,1.36041,1.35448,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1620.23,1.01163,1.22951,1.382,0.77856,0.5924,0.65677,0.51205,0.85701,1.16522,1.26171,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1843.84,0.98963,1.17702,1.36569,0.79489,0.60223,0.68635,0.53905,0.83612,1.06088,1.23349,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2075.86,0.96705,1.13427,1.34979,0.81719,0.63263,0.7166,0.57188,0.80161,0.98296,1.22123,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2307.46,0.95109,1.1008,1.33963,0.829,0.64156,0.72599,0.58563,0.76435,0.95399,1.19015,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2536.46,0.93953,1.06728,1.33009,0.86285,0.66957,0.75622,0.61437,0.72561,0.8379,1.1666,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2766.14,0.92779,1.04534,1.32087,0.87811,0.67326,0.77159,0.62833,0.72016,0.78741,1.15956,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2995.03,0.91261,1.02112,1.31091,0.88458,0.65735,0.76241,0.63004,0.69825,0.81156,1.14424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3227.53,0.9058,1.00358,1.30338,0.89355,0.68281,0.77502,0.64253,0.68944,0.76299,1.1354,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3458.8,0.89975,0.987,1.2986,0.89775,0.6966,0.78266,0.65195,0.67725,0.73358,1.12399,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3688.66,0.89384,0.97147,1.29543,0.90119,0.69998,0.78774,0.65645,0.6711,0.71432,1.12302,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3918.28,0.88708,0.95337,1.28866,0.89492,0.69898,0.79246,0.65732,0.67157,0.71048,1.12104,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4145.8,0.87503,0.93909,1.28212,0.88299,0.71767,0.79611,0.66831,0.65922,0.692,1.11054,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4368.49,0.8701,0.92609,1.27674,0.90475,0.71018,0.79898,0.67566,0.64557,0.67562,1.10027,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4598.98,0.87032,0.92109,1.27817,0.89492,0.71976,0.80051,0.67656,0.64387,0.66899,1.09885,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4828.68,0.86359,0.9116,1.27307,0.90184,0.71436,0.80246,0.67872,0.63823,0.66541,1.09174,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5057.03,0.85552,0.89899,1.26677,0.89353,0.7208,0.80379,0.68024,0.63673,0.65793,1.09223,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5287.48,0.85601,0.89551,1.2682,0.8982,0.71819,0.80708,0.68325,0.63613,0.65179,1.09233,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5510.26,0.84812,0.88946,1.26358,0.90887,0.71785,0.80863,0.6847,0.6347,0.64681,1.09053,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5732.57,0.84547,0.87972,1.26047,0.8876,0.73129,0.81016,0.68622,0.63406,0.64168,1.09024,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5966.23,0.83725,0.86116,1.25354,0.89276,0.73388,0.81111,0.68675,0.63215,0.63804,1.08876,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6197.01,0.83947,0.86402,1.25603,0.8873,0.73404,0.81232,0.68788,0.63097,0.63699,1.08761,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6424.58,0.83266,0.8527,1.25048,0.87493,0.74413,0.81256,0.6888,0.62939,0.63525,1.08627,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6654.91,0.83363,0.85068,1.25074,0.89653,0.72783,0.81202,0.68965,0.62909,0.63385,1.0861,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6873.65,0.82386,0.83861,1.2445,0.89108,0.73237,0.81226,0.69095,0.62858,0.63066,1.08601,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7097.09,0.82617,0.84075,1.24763,0.88879,0.73648,0.81243,0.69121,0.62835,0.6297,1.08586,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7326.82,0.825,0.83034,1.24433,0.88787,0.74157,0.81345,0.69127,0.62658,0.62663,1.085,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7556.73,0.8204,0.82575,1.24051,0.88962,0.74184,0.81385,0.6915,0.62583,0.62431,1.08455,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7774.54,0.81489,0.81802,1.237,0.89368,0.74216,0.81399,0.69311,0.62518,0.62223,1.08409,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7989.88,0.81378,0.81313,1.23574,0.89408,0.74339,0.81478,0.69318,0.62442,0.61984,1.08371,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8204.8,0.81308,0.80977,1.23727,0.89341,0.74185,0.81577,0.69407,0.62273,0.618,1.08225,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8418.97,0.80614,0.80251,1.23063,0.89357,0.7407,0.81708,0.69506,0.6225,0.61542,1.08184,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8630.35,0.80177,0.79617,1.22743,0.89147,0.74416,0.81728,0.69454,0.62215,0.61353,1.08159,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8844.21,0.79811,0.79459,1.22567,0.89212,0.7436,0.81898,0.69581,0.62098,0.61246,1.08096,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9054.37,0.79997,0.79326,1.2271,0.88667,0.74659,0.81954,0.69606,0.62001,0.61074,1.07998,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9264.39,0.79683,0.78254,1.22466,0.88396,0.74839,0.82082,0.69676,0.61902,0.6088,1.07908,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9474.28,0.79254,0.78131,1.22194,0.88764,0.74912,0.82093,0.69765,0.61819,0.6077,1.07773,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9687.07,0.7952,0.78323,1.2242,0.88343,0.75238,0.82156,0.69831,0.61742,0.60567,1.07634,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9901.72,0.79454,0.77507,1.22161,0.88214,0.75185,0.82202,0.69873,0.61633,0.60407,1.07502,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10114.7,0.78731,0.76986,1.2186,0.89351,0.74671,0.82238,0.69955,0.61523,0.60249,1.074,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10325.4,0.78288,0.76172,1.21582,0.88871,0.75192,0.82323,0.70047,0.61514,0.60069,1.07353,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10537,0.77992,0.76131,1.214,0.89066,0.74914,0.82563,0.70139,0.61384,0.59985,1.0726,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10749.9,0.78125,0.75705,1.21358,0.89286,0.74683,0.82625,0.70265,0.61284,0.59868,1.07155,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10961,0.77856,0.7521,1.21273,0.88872,0.75304,0.82686,0.70359,0.61248,0.59649,1.07122,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11172.1,0.77296,0.74648,1.20781,0.89183,0.75217,0.82723,0.70492,0.61172,0.59506,1.07104,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11382.7,0.77391,0.74134,1.20747,0.8928,0.75328,0.829,0.70516,0.61138,0.59457,1.07069,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
