epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,682.004,1.04463,2.16597,1.35989,0.67266,0.59653,0.65139,0.48487,0.8961,1.50579,1.25547,0.00999634,0.00333211,0.00999634,0.00333211,0.00999634,0.00333211,0.00999634,0.00333211
2,1288.99,1.05346,1.43087,1.33305,0.67894,0.62982,0.68426,0.50819,0.89285,1.34438,1.27224,0.0197984,0.00659946,0.0197984,0.00659946,0.0197984,0.00659946,0.0197984,0.00659946
3,1877.72,1.09855,1.33519,1.36233,0.70787,0.62021,0.69041,0.51444,0.9121,1.37996,1.28069,0.0294024,0.0098008,0.0294024,0.0098008,0.0294024,0.0098008,0.0294024,0.0098008
4,2466.47,1.08349,1.25308,1.35218,0.764,0.72932,0.7959,0.6197,0.81262,1.00286,1.18663,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
