epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,278.362,1.02953,2.33067,1.3545,0.67512,0.58273,0.63815,0.48763,0.80505,1.48831,1.18902,0.00998536,0.00332845,0.00998536,0.00332845,0.00998536,0.00332845,0.00998536,0.00332845
2,557,1.00899,1.41023,1.29545,0.46244,0.48687,0.44806,0.29942,1.1124,2.04122,1.43516,0.0197875,0.00659583,0.0197875,0.00659583,0.0197875,0.00659583,0.0197875,0.00659583
3,833.837,1.08161,1.31303,1.34402,0.55365,0.39556,0.40112,0.26006,1.20826,2.66359,1.55656,0.0293916,0.00979722,0.0293916,0.00979722,0.0293916,0.00979722,0.0293916,0.00979722
4,1114.13,1.07435,1.20686,1.33796,0.70026,0.62966,0.69013,0.5124,0.91439,1.32569,1.27501,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1398.15,0.99214,1.03227,1.27958,0.75348,0.70248,0.77803,0.61354,0.77251,1.07773,1.1662,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1680.3,0.94899,0.93939,1.25136,0.74929,0.76292,0.8186,0.65745,0.73793,0.91684,1.11993,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1961.88,0.91633,0.88036,1.22876,0.83983,0.76281,0.86235,0.68678,0.75516,0.76493,1.1224,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2245.91,0.89407,0.83507,1.21448,0.8502,0.79055,0.87718,0.72163,0.68069,0.7224,1.10439,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2520.46,0.87155,0.80353,1.20109,0.86212,0.82013,0.89753,0.75028,0.64094,0.65443,1.05673,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2839.73,0.86254,0.78447,1.19386,0.88212,0.82284,0.90796,0.76667,0.60416,0.61492,1.0388,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3189.6,0.84562,0.75913,1.18445,0.87859,0.83979,0.90905,0.76567,0.61221,0.62404,1.03277,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
