epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1391.84,0.98544,1.74171,1.01002,0.45802,0.12132,0.12285,0.09604,1.11854,2.80827,1.07076,3.93684e-05,3.93684e-05,3.93684e-05
40,1429.3,0.98832,1.73653,1.01136,0.45049,0.13145,0.12751,0.09773,1.13645,2.79751,1.08036,3.62202e-05,3.62202e-05,3.62202e-05
41,1500.57,0.98866,1.74684,1.01495,0.45327,0.12956,0.1309,0.10259,1.13631,2.81283,1.07502,3.3072e-05,3.3072e-05,3.3072e-05
42,1534.7,0.97241,1.68957,1.00712,0.42509,0.1387,0.12991,0.10266,1.14065,2.79472,1.0753,2.99238e-05,2.99238e-05,2.99238e-05
43,1568.79,0.96833,1.62961,1.0136,0.48332,0.13499,0.12051,0.09406,1.12276,2.80533,1.06834,2.67756e-05,2.67756e-05,2.67756e-05
44,1602.34,0.96036,1.61914,1.00361,0.46812,0.12669,0.12473,0.09883,1.11519,2.80212,1.06834,2.36274e-05,2.36274e-05,2.36274e-05
45,1635.88,0.96651,1.60364,1.00361,0.47673,0.14656,0.1296,0.104,1.11195,2.81939,1.06841,2.04792e-05,2.04792e-05,2.04792e-05
46,1669.56,0.96214,1.57452,1.0015,0.41966,0.15543,0.13337,0.10645,1.11786,2.80349,1.07453,1.7331e-05,1.7331e-05,1.7331e-05
47,1703.68,0.95571,1.56083,1.00051,0.43155,0.16615,0.12865,0.10162,1.11475,2.80524,1.06884,1.41828e-05,1.41828e-05,1.41828e-05
48,1737.68,0.95654,1.55509,0.99801,0.39392,0.1642,0.12977,0.10254,1.11544,2.78704,1.06702,1.10346e-05,1.10346e-05,1.10346e-05
49,1771.87,0.95414,1.54582,0.99933,0.42614,0.16333,0.13174,0.10475,1.11239,2.77698,1.06838,7.8864e-06,7.8864e-06,7.8864e-06
50,1806.26,0.94174,1.52455,0.9951,0.43971,0.1501,0.13218,0.10601,1.11198,2.77789,1.06629,4.7382e-06,4.7382e-06,4.7382e-06
