epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5685,1.22524,5.16463,1.18275,0.33681,0.04585,0.01972,0.01571,1.26089,3.95028,1.15308,5.2731e-05,5.2731e-05,5.2731e-05
2,72.5988,1.23619,4.32283,1.16431,0.4621,0.07685,0.03387,0.02682,1.22474,3.42593,1.14319,0.000103637,0.000103637,0.000103637
3,107.143,1.2448,3.91047,1.15635,0.39714,0.08254,0.0419,0.03023,1.19195,3.2223,1.11805,0.000152445,0.000152445,0.000152445
4,141.17,1.20078,3.61835,1.13316,0.4705,0.08048,0.06387,0.0481,1.18439,3.03157,1.10128,0.000149555,0.000149555,0.000149555
5,172.73,1.20479,3.43684,1.12918,0.35464,0.10758,0.07763,0.05587,1.20241,2.95177,1.12003,0.000146407,0.000146407,0.000146407
6,205.598,1.18068,3.29446,1.11799,0.36292,0.10942,0.07927,0.06062,1.17681,2.94637,1.11475,0.000143259,0.000143259,0.000143259
7,240.305,1.16079,3.23063,1.11656,0.34383,0.1103,0.09589,0.07442,1.17068,2.88522,1.11087,0.000140111,0.000140111,0.000140111
8,276.372,1.16214,3.10348,1.10526,0.38442,0.11324,0.09704,0.07588,1.16698,2.82726,1.08588,0.000136963,0.000136963,0.000136963
9,311.47,1.14433,2.9875,1.09168,0.34244,0.13305,0.11614,0.09447,1.16015,2.85745,1.08242,0.000133814,0.000133814,0.000133814
10,348.447,1.14709,2.91228,1.08489,0.37171,0.14866,0.11504,0.0927,1.13421,2.85278,1.09431,0.000130666,0.000130666,0.000130666
11,383.708,1.12548,2.85493,1.08304,0.47531,0.11352,0.10732,0.08208,1.14902,2.87177,1.09622,0.000127518,0.000127518,0.000127518
12,419.16,1.1174,2.76067,1.07326,0.40628,0.15219,0.11833,0.09035,1.13629,2.7837,1.09008,0.00012437,0.00012437,0.00012437
13,454.879,1.11992,2.67847,1.08102,0.40528,0.14985,0.12369,0.094,1.15192,2.81422,1.096,0.000121222,0.000121222,0.000121222
14,489.627,1.09918,2.62478,1.07623,0.40397,0.1637,0.11923,0.0907,1.13049,2.7625,1.08068,0.000118073,0.000118073,0.000118073
15,526.079,1.11008,2.5428,1.06998,0.51439,0.11689,0.12705,0.10325,1.12252,2.79043,1.07807,0.000114925,0.000114925,0.000114925
16,560.946,1.06857,2.46699,1.05053,0.42428,0.1326,0.12101,0.09577,1.13465,2.7362,1.08818,0.000111777,0.000111777,0.000111777
17,597.269,1.09815,2.4468,1.06052,0.46147,0.16009,0.12511,0.09736,1.13837,2.78363,1.09014,0.000108629,0.000108629,0.000108629
18,633.628,1.06056,2.38823,1.05508,0.45377,0.13308,0.1198,0.0937,1.11614,2.74032,1.07567,0.000105481,0.000105481,0.000105481
19,673.221,1.06797,2.35743,1.04906,0.35194,0.17229,0.11969,0.09109,1.13931,2.74187,1.08359,0.000102332,0.000102332,0.000102332
20,709.439,1.06381,2.30318,1.0481,0.38948,0.15007,0.1181,0.09175,1.13659,2.81887,1.08601,9.91842e-05,9.91842e-05,9.91842e-05
21,745.446,1.07429,2.24583,1.04339,0.49583,0.15401,0.12451,0.09532,1.14723,2.75388,1.08661,9.6036e-05,9.6036e-05,9.6036e-05
22,781.463,1.07166,2.21468,1.05597,0.38631,0.14759,0.11836,0.09029,1.14557,2.76748,1.08032,9.28878e-05,9.28878e-05,9.28878e-05
23,817.136,1.04162,2.15802,1.04019,0.44764,0.16631,0.13644,0.10699,1.13631,2.75587,1.09254,8.97396e-05,8.97396e-05,8.97396e-05
24,852.792,1.0526,2.14654,1.04051,0.48475,0.12925,0.12718,0.09804,1.13645,2.76329,1.0928,8.65914e-05,8.65914e-05,8.65914e-05
25,888.3,1.04516,2.084,1.03795,0.45976,0.12574,0.12328,0.09624,1.13868,2.73333,1.09564,8.34432e-05,8.34432e-05,8.34432e-05
26,922.95,1.04873,2.02757,1.03152,0.37396,0.16275,0.12145,0.09663,1.13763,2.7704,1.08069,8.0295e-05,8.0295e-05,8.0295e-05
27,959.797,1.0184,1.98333,1.02818,0.48165,0.12352,0.12837,0.10102,1.11794,2.75143,1.07535,7.71468e-05,7.71468e-05,7.71468e-05
28,996.88,1.01041,1.98124,1.02261,0.42679,0.13074,0.11786,0.09191,1.12229,2.78964,1.07968,7.39986e-05,7.39986e-05,7.39986e-05
29,1031.95,1.01759,1.93811,1.01782,0.42685,0.14653,0.13495,0.10604,1.12703,2.72944,1.0916,7.08504e-05,7.08504e-05,7.08504e-05
30,1069.17,1.02029,1.89227,1.02265,0.40122,0.13512,0.12443,0.09834,1.15125,2.77131,1.09643,6.77022e-05,6.77022e-05,6.77022e-05
31,1104.96,1.02483,1.91441,1.02593,0.40218,0.14569,0.13026,0.10106,1.13694,2.75903,1.08674,6.4554e-05,6.4554e-05,6.4554e-05
32,1142.39,1.00988,1.8614,1.02354,0.40043,0.16052,0.12263,0.09566,1.14338,2.79512,1.08305,6.14058e-05,6.14058e-05,6.14058e-05
33,1178.63,1.014,1.84508,1.0214,0.47181,0.14357,0.1335,0.10035,1.14023,2.78611,1.08425,5.82576e-05,5.82576e-05,5.82576e-05
34,1215.34,1.00504,1.84851,1.01736,0.50452,0.12826,0.13755,0.10625,1.1191,2.76511,1.07768,5.51094e-05,5.51094e-05,5.51094e-05
35,1251.83,1.01511,1.80876,1.01619,0.39677,0.1553,0.13126,0.1036,1.12415,2.78786,1.0776,5.19612e-05,5.19612e-05,5.19612e-05
36,1286.91,0.98806,1.78049,1.01238,0.41319,0.15554,0.13303,0.10418,1.12694,2.78435,1.07933,4.8813e-05,4.8813e-05,4.8813e-05
37,1321.92,0.99848,1.75829,1.0127,0.43033,0.12893,0.12438,0.09894,1.11869,2.79868,1.07139,4.56648e-05,4.56648e-05,4.56648e-05
38,1355.82,0.99679,1.76023,1.01474,0.48436,0.11916,0.12184,0.09466,1.11267,2.79607,1.0711,4.25166e-05,4.25166e-05,4.25166e-05
