epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6796,1.18114,2.30667,1.10694,0.89481,0.04191,0.19498,0.13375,1.29618,2.95902,1.12735,0.000656566,0.000656566,0.000656566
2,43.7438,1.31191,1.89867,1.16271,0.36715,0.28177,0.216,0.12448,1.59854,2.25188,1.41076,0.00129703,0.00129703,0.00129703
3,60.83,1.39538,1.79434,1.21504,0.3494,0.267,0.19745,0.11604,1.58844,3.14684,1.38749,0.0019111,0.0019111,0.0019111
4,80.5996,1.40039,1.77494,1.23047,0.45526,0.33103,0.29119,0.17761,1.54536,1.96718,1.29264,0.0018812,0.0018812,0.0018812
5,104.13,1.3167,1.62344,1.17965,0.46784,0.29163,0.28864,0.18883,1.46918,1.80624,1.3036,0.0018416,0.0018416,0.0018416
6,120.469,1.30145,1.55136,1.16923,0.53875,0.30542,0.31791,0.20477,1.45243,2.2628,1.28385,0.001802,0.001802,0.001802
7,141.462,1.32098,1.51637,1.18386,0.45437,0.36453,0.3467,0.22657,1.47596,1.65102,1.25372,0.0017624,0.0017624,0.0017624
8,164.28,1.28204,1.47779,1.16416,0.50512,0.35567,0.35216,0.22598,1.4358,1.71379,1.26516,0.0017228,0.0017228,0.0017228
9,186.568,1.25663,1.42709,1.14385,0.56729,0.35468,0.37214,0.23779,1.40201,1.56834,1.24106,0.0016832,0.0016832,0.0016832
10,210.41,1.23407,1.36482,1.13313,0.57857,0.35074,0.3602,0.23835,1.38791,1.9869,1.25036,0.0016436,0.0016436,0.0016436
11,233.653,1.18994,1.34372,1.11951,0.58536,0.36946,0.38675,0.25501,1.36332,1.659,1.22205,0.001604,0.001604,0.001604
12,256.367,1.17996,1.30511,1.10585,0.54984,0.40197,0.39796,0.25288,1.40047,1.65018,1.22955,0.0015644,0.0015644,0.0015644
13,280.356,1.18175,1.28581,1.10573,0.4927,0.37438,0.35727,0.23292,1.32985,1.57042,1.20959,0.0015248,0.0015248,0.0015248
14,304.099,1.16893,1.2714,1.10463,0.57914,0.38719,0.40693,0.26762,1.3281,1.45477,1.19298,0.0014852,0.0014852,0.0014852
15,328.447,1.15986,1.26168,1.09193,0.58628,0.38115,0.39954,0.25735,1.33294,1.44728,1.19191,0.0014456,0.0014456,0.0014456
16,348.41,1.11976,1.23671,1.0838,0.59712,0.38522,0.40125,0.26386,1.31453,1.51163,1.20944,0.001406,0.001406,0.001406
17,365.36,1.11665,1.24792,1.09195,0.59199,0.40985,0.42938,0.27851,1.32129,1.44079,1.19053,0.0013664,0.0013664,0.0013664
18,386.055,1.0875,1.17445,1.07949,0.57783,0.38818,0.40455,0.26549,1.32419,1.60662,1.20671,0.0013268,0.0013268,0.0013268
19,408.543,1.09085,1.19565,1.07267,0.595,0.39113,0.41318,0.26581,1.32966,1.47142,1.21962,0.0012872,0.0012872,0.0012872
20,432.237,1.08184,1.16542,1.06351,0.5487,0.41576,0.41342,0.27392,1.26104,1.49089,1.18832,0.0012476,0.0012476,0.0012476
21,455.708,1.05744,1.11376,1.06469,0.5957,0.41662,0.44309,0.29877,1.2438,1.43466,1.14551,0.001208,0.001208,0.001208
22,479.096,1.0634,1.14975,1.05886,0.58704,0.39704,0.42636,0.29324,1.24263,1.37514,1.16422,0.0011684,0.0011684,0.0011684
23,499.514,1.05009,1.13275,1.06136,0.60906,0.39507,0.42917,0.29485,1.26413,1.37878,1.1835,0.0011288,0.0011288,0.0011288
24,523.551,1.02915,1.04714,1.03293,0.69089,0.38424,0.45647,0.30038,1.26588,1.31505,1.1726,0.0010892,0.0010892,0.0010892
25,547.053,1.03066,1.06088,1.03295,0.57552,0.38522,0.39442,0.25913,1.30555,2.30769,1.20927,0.0010496,0.0010496,0.0010496
26,569.852,1.02051,1.09049,1.04365,0.62067,0.41182,0.45376,0.30705,1.18508,1.33782,1.12889,0.00101,0.00101,0.00101
27,589.252,1.0062,1.01677,1.02745,0.61966,0.42759,0.46653,0.31491,1.21603,1.26072,1.15354,0.0009704,0.0009704,0.0009704
28,609.538,0.99156,0.99671,1.03277,0.59318,0.42521,0.45259,0.30545,1.2455,1.35806,1.17195,0.0009308,0.0009308,0.0009308
29,630.117,0.96001,0.96995,1.00889,0.64851,0.41084,0.4525,0.3032,1.25873,1.29345,1.18972,0.0008912,0.0008912,0.0008912
30,649.138,0.99398,1.01391,1.02824,0.64943,0.41576,0.45808,0.30777,1.2265,1.29215,1.1566,0.0008516,0.0008516,0.0008516
31,671.118,0.98753,0.98696,1.01925,0.58377,0.42857,0.45635,0.30765,1.21625,1.30536,1.13692,0.000812,0.000812,0.000812
32,690.861,0.97345,0.98283,1.01472,0.60731,0.41576,0.44995,0.30634,1.21161,1.29312,1.14161,0.0007724,0.0007724,0.0007724
33,709.022,0.94251,0.93537,0.99019,0.67983,0.39212,0.44297,0.30064,1.20895,1.4122,1.15735,0.0007328,0.0007328,0.0007328
34,727.51,0.9356,0.90976,0.989,0.63472,0.41943,0.4635,0.3103,1.18481,1.2819,1.13297,0.0006932,0.0006932,0.0006932
35,746.176,0.92558,0.91146,0.98868,0.61071,0.4266,0.46968,0.31941,1.17471,1.24653,1.12106,0.0006536,0.0006536,0.0006536
36,765.391,0.93624,0.90716,0.99451,0.6344,0.42956,0.46614,0.31786,1.15967,1.27738,1.11292,0.000614,0.000614,0.000614
37,783.582,0.93051,0.89265,0.99729,0.61683,0.44409,0.47526,0.32176,1.18118,1.24664,1.13815,0.0005744,0.0005744,0.0005744
38,801.753,0.89799,0.86674,0.9833,0.63742,0.42167,0.46448,0.31778,1.18923,1.27064,1.15864,0.0005348,0.0005348,0.0005348
39,819.2,0.89999,0.85363,0.97592,0.66955,0.41281,0.46851,0.32202,1.17042,1.25092,1.13018,0.0004952,0.0004952,0.0004952
40,836.765,0.89341,0.84746,0.98427,0.66221,0.42167,0.47137,0.32419,1.16371,1.24492,1.14125,0.0004556,0.0004556,0.0004556
41,894.395,0.89769,0.88872,0.97305,0.62576,0.41379,0.45923,0.31124,1.22111,1.43371,1.17323,0.000416,0.000416,0.000416
42,911.014,0.87614,0.83979,0.96699,0.66982,0.42463,0.47531,0.32866,1.19512,1.20493,1.15898,0.0003764,0.0003764,0.0003764
43,929.901,0.87561,0.80704,0.95719,0.62551,0.43842,0.47503,0.32365,1.22528,1.23734,1.18879,0.0003368,0.0003368,0.0003368
44,949.538,0.84938,0.78849,0.9534,0.62898,0.42857,0.47233,0.32321,1.2149,1.24383,1.17515,0.0002972,0.0002972,0.0002972
45,969.079,0.85754,0.79056,0.96444,0.67046,0.42295,0.47747,0.32982,1.19868,1.193,1.16802,0.0002576,0.0002576,0.0002576
46,989.001,0.85813,0.77056,0.94848,0.64836,0.42689,0.47379,0.3255,1.17971,1.22408,1.15203,0.000218,0.000218,0.000218
47,1006.01,0.82318,0.74729,0.94173,0.66637,0.4266,0.48179,0.33077,1.18125,1.1829,1.16412,0.0001784,0.0001784,0.0001784
48,1025.83,0.83419,0.74877,0.94307,0.72236,0.40501,0.48503,0.33106,1.18726,1.19241,1.16426,0.0001388,0.0001388,0.0001388
49,1045.25,0.82967,0.72741,0.93806,0.61295,0.43941,0.48421,0.33251,1.17255,1.19296,1.15514,9.92e-05,9.92e-05,9.92e-05
50,1063.65,0.81769,0.71852,0.92978,0.63847,0.44195,0.48582,0.33468,1.18067,1.19829,1.16194,5.96e-05,5.96e-05,5.96e-05
